round,boxer,punch_type,outcome,mayweather,pacquiao,jab,power,landed,missed
8,Mayweather,jab,missed,1,0,1,0,0,1
8,Mayweather,jab,missed,1,0,1,0,0,1
8,Mayweather,jab,missed,1,0,1,0,0,1
8,Mayweather,jab,missed,1,0,1,0,0,1
8,Mayweather,jab,missed,1,0,1,0,0,1
8,Mayweather,jab,missed,1,0,1,0,0,1
8,Mayweather,jab,missed,1,0,1,0,0,1
8,Mayweather,jab,missed,1,0,1,0,0,1
8,Mayweather,jab,missed,1,0,1,0,0,1
8,Mayweather,jab,missed,1,0,1,0,0,1
8,Mayweather,jab,missed,1,0,1,0,0,1
8,Mayweather,jab,missed,1,0,1,0,0,1
8,Mayweather,jab,missed,1,0,1,0,0,1
8,Mayweather,jab,missed,1,0,1,0,0,1
8,Mayweather,jab,missed,1,0,1,0,0,1
8,Mayweather,jab,missed,1,0,1,0,0,1
8,Mayweather,jab,missed,1,0,1,0,0,1
8,Mayweather,jab,missed,1,0,1,0,0,1
8,Mayweather,jab,missed,1,0,1,0,0,1
8,Mayweather,jab,missed,1,0,1,0,0,1
8,Mayweather,jab,missed,1,0,1,0,0,1
8,Mayweather,jab,missed,1,0,1,0,0,1
8,Mayweather,power,landed,1,0,0,1,1,0
8,Mayweather,power,landed,1,0,0,1,1,0
8,Mayweather,power,landed,1,0,0,1,1,0
8,Mayweather,power,landed,1,0,0,1,1,0
8,Mayweather,power,landed,1,0,0,1,1,0
8,Mayweather,power,missed,1,0,0,1,0,1
8,Mayweather,power,missed,1,0,0,1,0,1
8,Mayweather,power,missed,1,0,0,1,0,1
8,Mayweather,power,missed,1,0,0,1,0,1
8,Mayweather,power,missed,1,0,0,1,0,1
8,Mayweather,power,missed,1,0,0,1,0,1
9,Mayweather,jab,landed,1,0,1,0,1,0
9,Mayweather,jab,landed,1,0,1,0,1,0
9,Mayweather,jab,missed,1,0,1,0,0,1
9,Mayweather,jab,missed,1,0,1,0,0,1
9,Mayweather,jab,missed,1,0,1,0,0,1
9,Mayweather,jab,missed,1,0,1,0,0,1
9,Mayweather,jab,missed,1,0,1,0,0,1
9,Mayweather,jab,missed,1,0,1,0,0,1
9,Mayweather,jab,missed,1,0,1,0,0,1
9,Mayweather,jab,missed,1,0,1,0,0,1
9,Mayweather,jab,missed,1,0,1,0,0,1
9,Mayweather,jab,missed,1,0,1,0,0,1
9,Mayweather,jab,missed,1,0,1,0,0,1
9,Mayweather,jab,missed,1,0,1,0,0,1
9,Mayweather,jab,missed,1,0,1,0,0,1
9,Mayweather,jab,missed,1,0,1,0,0,1
9,Mayweather,jab,missed,1,0,1,0,0,1
9,Mayweather,jab,missed,1,0,1,0,0,1
9,Mayweather,power,landed,1,0,0,1,1,0
9,Mayweather,power,landed,1,0,0,1,1,0
9,Mayweather,power,landed,1,0,0,1,1,0
9,Mayweather,power,landed,1,0,0,1,1,0
9,Mayweather,power,landed,1,0,0,1,1,0
9,Mayweather,power,landed,1,0,0,1,1,0
9,Mayweather,power,landed,1,0,0,1,1,0
9,Mayweather,power,landed,1,0,0,1,1,0
9,Mayweather,power,landed,1,0,0,1,1,0
9,Mayweather,power,missed,1,0,0,1,0,1
9,Mayweather,power,missed,1,0,0,1,0,1
9,Mayweather,power,missed,1,0,0,1,0,1
9,Mayweather,power,missed,1,0,0,1,0,1
9,Mayweather,power,missed,1,0,0,1,0,1
9,Mayweather,power,missed,1,0,0,1,0,1
9,Mayweather,power,missed,1,0,0,1,0,1
9,Mayweather,power,missed,1,0,0,1,0,1
10,Mayweather,jab,landed,1,0,1,0,1,0
10,Mayweather,jab,landed,1,0,1,0,1,0
10,Mayweather,jab,landed,1,0,1,0,1,0
10,Mayweather,jab,missed,1,0,1,0,0,1
10,Mayweather,jab,missed,1,0,1,0,0,1
10,Mayweather,jab,missed,1,0,1,0,0,1
10,Mayweather,jab,missed,1,0,1,0,0,1
10,Mayweather,jab,missed,1,0,1,0,0,1
10,Mayweather,jab,missed,1,0,1,0,0,1
10,Mayweather,jab,missed,1,0,1,0,0,1
10,Mayweather,jab,missed,1,0,1,0,0,1
10,Mayweather,jab,missed,1,0,1,0,0,1
10,Mayweather,jab,missed,1,0,1,0,0,1
10,Mayweather,jab,missed,1,0,1,0,0,1
10,Mayweather,jab,missed,1,0,1,0,0,1
10,Mayweather,jab,missed,1,0,1,0,0,1
10,Mayweather,jab,missed,1,0,1,0,0,1
10,Mayweather,jab,missed,1,0,1,0,0,1
10,Mayweather,jab,missed,1,0,1,0,0,1
10,Mayweather,power,landed,1,0,0,1,1,0
10,Mayweather,power,landed,1,0,0,1,1,0
10,Mayweather,power,landed,1,0,0,1,1,0
10,Mayweather,power,landed,1,0,0,1,1,0
10,Mayweather,power,landed,1,0,0,1,1,0
10,Mayweather,power,landed,1,0,0,1,1,0
10,Mayweather,power,missed,1,0,0,1,0,1
10,Mayweather,power,missed,1,0,0,1,0,1
10,Mayweather,power,missed,1,0,0,1,0,1
10,Mayweather,power,missed,1,0,0,1,0,1
10,Mayweather,power,missed,1,0,0,1,0,1
10,Mayweather,power,missed,1,0,0,1,0,1
10,Mayweather,power,missed,1,0,0,1,0,1
11,Mayweather,jab,landed,1,0,1,0,1,0
11,Mayweather,jab,landed,1,0,1,0,1,0
11,Mayweather,jab,landed,1,0,1,0,1,0
11,Mayweather,jab,landed,1,0,1,0,1,0
11,Mayweather,jab,landed,1,0,1,0,1,0
11,Mayweather,jab,landed,1,0,1,0,1,0
11,Mayweather,jab,missed,1,0,1,0,0,1
11,Mayweather,jab,missed,1,0,1,0,0,1
11,Mayweather,jab,missed,1,0,1,0,0,1
11,Mayweather,jab,missed,1,0,1,0,0,1
11,Mayweather,jab,missed,1,0,1,0,0,1
11,Mayweather,jab,missed,1,0,1,0,0,1
11,Mayweather,jab,missed,1,0,1,0,0,1
11,Mayweather,jab,missed,1,0,1,0,0,1
11,Mayweather,jab,missed,1,0,1,0,0,1
11,Mayweather,jab,missed,1,0,1,0,0,1
11,Mayweather,jab,missed,1,0,1,0,0,1
11,Mayweather,jab,missed,1,0,1,0,0,1
11,Mayweather,jab,missed,1,0,1,0,0,1
11,Mayweather,jab,missed,1,0,1,0,0,1
11,Mayweather,jab,missed,1,0,1,0,0,1
11,Mayweather,jab,missed,1,0,1,0,0,1
11,Mayweather,jab,missed,1,0,1,0,0,1
11,Mayweather,jab,missed,1,0,1,0,0,1
11,Mayweather,power,landed,1,0,0,1,1,0
11,Mayweather,power,landed,1,0,0,1,1,0
11,Mayweather,power,landed,1,0,0,1,1,0
11,Mayweather,power,landed,1,0,0,1,1,0
11,Mayweather,power,landed,1,0,0,1,1,0
11,Mayweather,power,landed,1,0,0,1,1,0
11,Mayweather,power,landed,1,0,0,1,1,0
11,Mayweather,power,landed,1,0,0,1,1,0
11,Mayweather,power,landed,1,0,0,1,1,0
11,Mayweather,power,landed,1,0,0,1,1,0
11,Mayweather,power,landed,1,0,0,1,1,0
11,Mayweather,power,missed,1,0,0,1,0,1
11,Mayweather,power,missed,1,0,0,1,0,1
11,Mayweather,power,missed,1,0,0,1,0,1
11,Mayweather,power,missed,1,0,0,1,0,1
11,Mayweather,power,missed,1,0,0,1,0,1
11,Mayweather,power,missed,1,0,0,1,0,1
11,Mayweather,power,missed,1,0,0,1,0,1
11,Mayweather,power,missed,1,0,0,1,0,1
11,Mayweather,power,missed,1,0,0,1,0,1
11,Mayweather,power,missed,1,0,0,1,0,1
12,Mayweather,jab,landed,1,0,1,0,1,0
12,Mayweather,jab,landed,1,0,1,0,1,0
12,Mayweather,jab,missed,1,0,1,0,0,1
12,Mayweather,jab,missed,1,0,1,0,0,1
12,Mayweather,jab,missed,1,0,1,0,0,1
12,Mayweather,jab,missed,1,0,1,0,0,1
12,Mayweather,jab,missed,1,0,1,0,0,1
12,Mayweather,jab,missed,1,0,1,0,0,1
12,Mayweather,jab,missed,1,0,1,0,0,1
12,Mayweather,jab,missed,1,0,1,0,0,1
12,Mayweather,jab,missed,1,0,1,0,0,1
12,Mayweather,jab,missed,1,0,1,0,0,1
12,Mayweather,jab,missed,1,0,1,0,0,1
12,Mayweather,jab,missed,1,0,1,0,0,1
12,Mayweather,jab,missed,1,0,1,0,0,1
12,Mayweather,jab,missed,1,0,1,0,0,1
12,Mayweather,jab,missed,1,0,1,0,0,1
12,Mayweather,jab,missed,1,0,1,0,0,1
12,Mayweather,jab,missed,1,0,1,0,0,1
12,Mayweather,power,landed,1,0,0,1,1,0
12,Mayweather,power,landed,1,0,0,1,1,0
12,Mayweather,power,landed,1,0,0,1,1,0
12,Mayweather,power,landed,1,0,0,1,1,0
